CIAD,Uso,Código OACI,Nome,Município,UF,Município Servido,UF Servido,longitude,latitude,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,AntesLongitude,AntesLatitude
MA0041,Privado,SNOZ,Coronel Alexandre Raposo,PAÇO DO LUMIAR,Maranhão,,,-44.1241666666700,-2.52361111111111,"47,00",VFR,Sem Operação,09/27,"1.000,00","30,00",5700 Kg / 0.50 MPa,Asfalto,,,,,,,01/10/2030,PA2020-2268,https://pergamum.anac.gov.br/arquivos/PA2020-2268.pdf,"044°07'27.0W""","02°31'25.0S"""
MA0042,Privado,SNXH,Itapicuru,CODÓ,Maranhão,,,-44.0200000000000,-4.51305555555556,"56,00",VFR,VFR,09/27,"1.475,00","29,00",6/F/A/X/T,Asfalto,,,,,,,,,,"044°01'12.0W""","04°30'47.0S"""
MA0043,Privado,SNYW,Antônio Guerreiro,GUIMARÃES,Maranhão,,,-44.6525000000000,-2.11055555555556,"75,00",VFR,Sem Operação,05/23,"800,00","18,00",3700 Kg / 0.50 MPa,Piçarra,,,,,,,02/06/2021,PA2011-1105,https://pergamum.anac.gov.br/arquivos/PA2011-1105.pdf,"044°39'09.0W""","02°06'38.0S"""
MA0044,Privado,SSDI,Fazenda Bacatuba,BURITI BRAVO,Maranhão,,,-43.7055555555600,-5.65833333333333,"178,00",VFR,Sem Operação,16/34,"900,00","18,00",2155 Kg / 0.50 MPa,Piçarra,,,,,,,10/04/2024,PA2014-0865,https://pergamum.anac.gov.br/arquivos/PA2014-0865.pdf,"043°42'20.0W""","05°39'30.0S"""
MA0045,Privado,SSEQ,Renascer,ARAME,Maranhão,,,-45.8450000000000,-4.78416666666667,"304,00",VFR,Sem Operação,18/36,"1.000,00","18,00",5700 Kg / 0.50 MPa,Piçarra,,,,,,,23/03/2025,PA2015-0697,https://pergamum.anac.gov.br/arquivos/PA2015-0697.pdf,"045°50'42.0W""","04°47'03.0S"""
MA0046,Privado,SSFQ,Fazenda Canoa Quebrada,GRAJAÚ,Maranhão,,,-46.2488888888900,-5.93805555555556,"291,00",VFR,Sem Operação,02/20,"1.200,00","23,00",4000 Kg / 0.50 MPa,Cascalho,,,,,,,20/07/2028,PA2018-2190,https://pergamum.anac.gov.br/arquivos/PA2018-2190.pdf,"046°14'56.0W""","05°56'17.0S"""
MA0047,Privado,SSSK,FC,CODÓ,Maranhão,,,-43.9202777777800,-4.50916666666667,"69,00",VFR,Sem Operação,16/34,"850,00","20,00",3500 Kg / 0.50 MPa,Piçarra,,,,,,,,,,"043°55'13.0W""","04°30'33.0S"""
MA0048,Privado,SSYP,Gessomar,CODÓ,Maranhão,,,-43.9194444444400,-4.52083333333333,"58,00",VFR,Sem Operação,04/22,"700,00","18,00",2155 Kg / 0.50 MPa,Piçarra,,,,,,,28/12/2021,PA2011-2561,https://pergamum.anac.gov.br/arquivos/PA2011-2561.pdf,"043°55'10.0W""","04°31'15.0S"""
MA0049,Privado,SSYR,José Mendes Ribeiro,SÃO JOÃO DOS PATOS,Maranhão,,,-43.6841666666700,-6.50055555555556,"362,00",VFR,Sem Operação,16/34,"600,00","18,00",2155 Kg / 0.50 MPa,Piçarra,,,,,,,06/06/2022,PA2012-1116,https://pergamum.anac.gov.br/arquivos/PA2012-1116.pdf,"043°41'03.0W""","06°30'02.0S"""
MA0050,Privado,SWEX,Boa Esperança,SANTA LUZIA,Maranhão,,,-45.7830555555600,-3.91194444444444,"74,00",VFR,Sem Operação,10/28,"841,00","18,00",5700 Kg / 0.50 MPa,Piçarra,,,,,,,23/03/2025,PA2015-0694,https://pergamum.anac.gov.br/arquivos/PA2015-0694.pdf,"045°46'59.0W""","03°54'43.0S"""
MA0051,Privado,SWLH,Fazenda Nova Holanda,BALSAS,Maranhão,,,-46.3588888888900,-8.80694444444445,"505,00",VFR,Sem Operação,09/27,"1.050,00","18,00",5700 Kg / 0.50 MPa,Terra,,,,,,,10/10/2023,PA2013-2643,https://pergamum.anac.gov.br/arquivos/PA2013-2643.pdf,"046°21'32.0W""","08°48'25.0S"""
MA0052,Privado,SWRF,Francisco Ramalho,PEDREIRAS,Maranhão,,,-44.5461111111100,-4.58388888888889,"43,00",VFR,Sem Operação,04/22,"550,00","18,00",1724 Kg / 0.50 MPa,Piçarra,,,,,,,11/09/2024,PA2014-2118,https://pergamum.anac.gov.br/arquivos/PA2014-2118.pdf,"044°32'46.0W""","04°35'02.0S"""
MA0053,Privado,SWWR,Fazenda Roseira,SÃO RAIMUNDO DAS MANGABEIRAS,Maranhão,,,-45.8819444444400,-7.231,"360,00",VFR,Sem Operação,10/28,"620,00","18,00",4000 Kg / 0.50 MPa,Piçarra,,,,,,,23/10/2024,PA2014-2463,https://pergamum.anac.gov.br/arquivos/PA2014-2463.pdf,"045°52'55.0W""","07°13'51.6S"""
MA0076,Privado,SSYL,Fazenda Patrol,PARNARAMA,Maranhão,,,-43.5202777777800,-5.54705555555556,"198,00",VFR,Sem Operação,14/32,"1.200,00","30,00",5700 Kg / 0.50 MPa,Cascalho,,,,,,,30/11/2028,PA2018-3574,https://pergamum.anac.gov.br/arquivos/PA2018-3574.pdf,"043°31'13.0W""","05°32'49.4S"""
MA0078,Privado,SWBN,Fazenda São Gabriel,BALSAS,Maranhão,,,-46.1458333333300,-7.49,"225,00",VFR,Sem Operação,13/31,"650,00","18,00",5700 Kg / 0.50 MPa,Cascalho,,,,,,,22/07/2030,PA2020-1672,https://pergamum.anac.gov.br/arquivos/PA2020-1672.pdf,"046°08'45.0W""","07°29'24.0S"""
MA0081,Privado,SNTX,Fazenda Santo Antônio,BURITICUPU,Maranhão,,,-46.2672222222200,-4.50777777777778,"326,00",VFR,Sem Operação,07/25,"1.199,00","20,00",5700 Kg / 0.50 MPa,Terra,,,,,,,26/07/2029,PA2019-2118,https://pergamum.anac.gov.br/arquivos/PA2019-2118.pdf,"046°16'02.0W""","04°30'28.0S"""
MA0105,Privado,SNJE,Fazenda Fresadora,GONÇALVES DIAS,Maranhão,,,-44.0469444444400,-5.04527777777778,"152,00",VFR,Sem Operação,09/27,"1.000,00","30,00",5700 Kg / 0.50 MPa,Cascalho,,,,,,,27/08/2029,PA2019-2624,https://pergamum.anac.gov.br/arquivos/PA2019-2624.pdf,"044°02'49.0W""","05°02'43.0S"""
MA0110,Privado,SBOT,Fazenda Eldorado,MONÇÃO,Maranhão,,,-45.2688888888900,-3.69194444444444,"36,00",VFR,Sem Operação,11/29,"1.200,00","20,00",5700 Kg / 0.50 MPa,Cascalho,,,,,,,22/10/2030,PA2020-2545,https://pergamum.anac.gov.br/arquivos/PA2020-2545.pdf,"045°16'08.0W""","03°41'31.0S"""
MA0112,Privado,SSVR,Adão Veríssimo,ITINGA DO MARANHÃO,Maranhão,,,-47.4380555555600,-4.37638888888889,"149,00",VFR,Sem Operação,10/28,"800,00","18,00",3000 Kg / 0.50 MPa,Cascalho,,,,,,,12/02/2030,PA2019-362,https://pergamum.anac.gov.br/arquivos/PA2019-362.pdf,"047°26'17.0W""","04°22'35.0S"""
MA0114,Privado,,Fazenda Agromapi,SÃO FÉLIX DE BALSAS,Maranhão,,,-44.8950000000000,-7.32583333333333,"330,00",VFR,Sem Operação,18/36,"1.000,00","25,00",5000 Kg / 50.00 MPa,Terra,,,,,,,07/01/2031,PA2020-3244,https://pergamum.anac.gov.br/arquivos/PA2020-3244.pdf,"044°53'42.0W""","07°19'33.0S"""
MA0115,Privado,,Fazenda Alegria - P,VITORINO FREIRE,Maranhão,,,-45.3677777777800,-4.31944444444444,"51,00",VFR,Sem Operação,16/34,"1.000,00","20,00",5000 Kg / 0.50 MPa,Piçarra,,,,,,,17/05/2031,PA2021-4978,https://pergamum.anac.gov.br/arquivos/PA2021-4978.pdf,"045°22'04.0W""","04°19'10.0S"""
MA0117,Privado,,Fazenda Norton,TASSO FRAGOSO,Maranhão,,,-45.9236111111100,-8.42361111111111,"492,00",VFR,VFR,12/30,"1.500,00","30,00",9/F/A/X/T,Asfalto,,,,,,,06/04/2031,PA2021-4634,https://pergamum.anac.gov.br/arquivos/PA2021-4634.pdf,"045°55'25.0W""","08°25'25.0S"""
MA0120,Privado,,FAZENDA SÃO PEDRO,AÇAILÂNDIA,Maranhão,,,-47.2205555555600,-4.8875,"284,00",VFR,Sem Operação,10/28,"850,00","18,00",3600 Kg / 0.50 MPa,Piçarra,,,,,,,19/05/2031,PA2021-5001,https://pergamum.anac.gov.br/arquivos/PA2021-5001.pdf,"047°13'14.0W""","04°53'15.0S"""
MA0121,Privado,,Fazenda Tartus,PORTO FRANCO,Maranhão,,,-47.1491666666700,-6.25277777777778,"0,00",VFR,Sem Operação,08/26,"1.000,00","18,00",3600 Kg / 0.50 MPa,Piçarra,,,,,,,19/04/2031,PA2021-4714,https://pergamum.anac.gov.br/arquivos/PA2021-4714.pdf,"047°08'57.0W""","06°15'10.0S"""
MA0122,Privado,,FAZENDA VALE DO KAFROUN,GRAJAÚ,Maranhão,,,-46.2311111111100,-6.225,"299,00",VFR,Sem Operação,12/30,"1.000,00","18,00",3600 Kg / 0.50 MPa,Piçarra,,,,,,,19/05/2031,PA2021-4999,https://pergamum.anac.gov.br/arquivos/PA2021-4999.pdf,"046°13'52.0W""","06°13'30.0S"""
MA0129,Privado,,MONTE DAS OLIVEIRAS (CMTE. SÉRGIO),CURURUPU,Maranhão,,,-44.8711111111100,-1.86166666666667,"38,00",VFR,Sem Operação,09/27,"800,00","18,00",4600 Kg / 0.50 MPa,Piçarra,,,,,,,28/04/2031,PA2021-4846,https://pergamum.anac.gov.br/arquivos/PA2021-4846.pdf,"044°52'16.0W""","01°51'42.0S"""
MG0001,Público,SBCF,Tancredo Neves,CONFINS,Minas Gerais,Belo Horizonte,Minas Gerais,-43.9719444444400,-19.6244444444444,"827,00",,,16/34,"3.600,00","45,00",75/F/B/W/T,Asfalto,,,,,,Cadastrado,13/08/2028,PA2018-2457,https://pergamum.anac.gov.br/arquivos/PA2018-2457.pdf,"043°58'19.0W""","19°37'28.0S"""
MG0002,Público,SBUL,Ten. Cel. Aviador César Bombonato,UBERLÂNDIA,Minas Gerais,Uberlândia,Minas Gerais,-48.2252777777800,-18.8836111111111,"943,00",VFR / IFR - CAT I,VFR / IFR - CAT I,04/22,"2.100,00","45,00",43/F/A/X/T,Asfalto,,,,,,Cadastrado,27/02/2024,PA2014-0465,https://pergamum.anac.gov.br/arquivos/PA2014-0465.pdf,"048°13'31.0W""","18°53'01.0S"""
MG0003,Público,SBBH,Pampulha - Carlos Drummond de Andrade,BELO HORIZONTE,Minas Gerais,Belo Horizonte,Minas Gerais,-43.9505555555600,-19.8519444444444,"789,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,13/31,"2.364,00","45,00",44/F/B/X/T,Asfalto,,,,,,Cadastrado,18/04/2027,PA2017-1295,https://pergamum.anac.gov.br/arquivos/PA2017-1295.pdf,"043°57'02.0W""","19°51'07.0S"""
MG0004,Público,SBMK,Aeródromo Público Mário Ribeiro,MONTES CLAROS,Minas Gerais,Montes Claros,Minas Gerais,-43.8219444444400,-16.7061111111111,"668,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,12/30,"2.100,00","45,00",34/F/B/X/T,Asfalto,,,,,,Cadastrado,29/07/2024,PA2014-1719,https://pergamum.anac.gov.br/arquivos/PA2014-1719.pdf,"043°49'19.0W""","16°42'22.0S"""
MG0005,Público,SBPR,Carlos Prates,BELO HORIZONTE,Minas Gerais,Belo Horizonte,Minas Gerais,-43.9891666666700,-19.9091666666667,"928,00",VFR,Sem Operação,09/27,"868,00","18,00",10/F/C/Y/U,Asfalto,,,,,,Cadastrado,27/10/2024,PA2014-2499,https://pergamum.anac.gov.br/arquivos/PA2014-2499.pdf,"043°59'21.0W""","19°54'33.0S"""
MG0006,Público,SBZM,Presidente Itamar Franco,GOIANÁ,Minas Gerais,Goianá,Minas Gerais,-43.1730555555600,-21.5130555555556,"412,00",VFR / IFR Não Precisão,IFR Não Precisão,08/26,"2.525,00","45,00",66/F/B/X/T,Asfalto,,,,,,Cadastrado,21/09/2021,PA2017-2564,https://pergamum.anac.gov.br/arquivos/PA2017-2564.pdf,"043°10'23.0W""","21°30'47.0S"""
MG0007,Público,SBIP,Usiminas,SANTANA DO PARAÍSO,Minas Gerais,Santana do Paraíso,Minas Gerais,-42.4880555555600,-19.4705555555556,"239,00",VFR / IFR Não Precisão,,05/23,"2.005,00","45,00",33/F/B/X/T,Asfalto,,,,,,Cadastrado,,PD2001-1629,https://pergamum.anac.gov.br/arquivos/PD2001-1629.pdf,"042°29'17.0W""","19°28'14.0S"""
MG0008,Público,SBAX,Romeu Zema,ARAXÁ,Minas Gerais,Araxá,Minas Gerais,-46.9655555555600,-19.5605555555556,"999,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,16/34,"1.900,00","30,00",26/F/B/X/T,Asfalto,,,,,,Cadastrado,06/07/2027,PA2017-3046,https://pergamum.anac.gov.br/arquivos/PA2017-3046.pdf,"046°57'56.0W""","19°33'38.0S"""
MG0009,Público,SBUR,Mario de Almeida Franco,UBERABA,Minas Gerais,Uberaba,Minas Gerais,-47.9661111111100,-19.7647222222222,"809,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,17/35,"1.759,00","45,00",32/F/A/X/T,Asfalto,,,,,,Cadastrado,29/06/2025,PA2015-1597,https://pergamum.anac.gov.br/arquivos/PA2015-1597.pdf,"047°57'58.0W""","19°45'53.0S"""
MG0010,Público,SNPD,Patos de Minas,PATOS DE MINAS,Minas Gerais,Patos de Minas,Minas Gerais,-46.4913888888900,-18.6722222222222,"851,00",VFR,VFR,09/27,"1.700,00","30,00",39/F/A/Y/T,Asfalto,,,,,,Cadastrado,15/03/2026,PA2016-0576,https://pergamum.anac.gov.br/arquivos/PA2016-0576.pdf,"046°29'29.0W""","18°40'20.0S"""
MG0012,Público,SNFE,Comandante Paschoal Patrocínio Filho,ALFENAS,Minas Gerais,Alfenas,Minas Gerais,-45.9330555555600,-21.4316666666667,"875,00",VFR,VFR,04/22,"1.600,00","30,00",8/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PD1998-0177E,https://pergamum.anac.gov.br/arquivos/PD1998-0177E.pdf,"045°55'59.0W""","21°25'54.0S"""
MG0013,Público,SNPY,São Sebastião do Paraíso,SÃO SEBASTIÃO DO PARAÍSO,Minas Gerais,São Sebastião do Paraíso,Minas Gerais,-46.9830555555600,-20.9483333333333,"950,00",VFR,VFR,05/23,"1.600,00","30,00",8/F/C/Y/U,Asfalto,,,,,,Cadastrado,26/12/2029,PA2019-3901,https://pergamum.anac.gov.br/arquivos/PA2019-3901.pdf,"046°58'59.0W""","20°56'54.0S"""
MG0014,Público,SNYU,Aeródromo de Iturama,ITURAMA,Minas Gerais,Iturama,Minas Gerais,-50.2202777777800,-19.7172222222222,"475,00",VFR,VFR,18/36,"1.550,00","30,00",10/F/A/Y/T,Asfalto,,,,,,Cadastrado,23/09/2030,PA2020-2411,https://pergamum.anac.gov.br/arquivos/PA2020-2411.pdf,"050°13'13.0W""","19°43'02.0S"""
MG0015,Público,SNDV,Brigadeiro Antônio Cabral,DIVINÓPOLIS,Minas Gerais,Divinópolis,Minas Gerais,-44.8700000000000,-20.1819444444444,"795,00",VFR,VFR,17/35,"1.540,00","30,00",20/F/B/X/T,Asfalto,,,,,,Cadastrado,07/01/2026,PA2016-0019,https://pergamum.anac.gov.br/arquivos/PA2016-0019.pdf,"044°52'12.0W""","20°10'55.0S"""
MG0016,Público,SBJF,Francisco de Assis,JUIZ DE FORA,Minas Gerais,Juiz de Fora,Minas Gerais,-43.3855555555600,-21.7930555555556,"911,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,03/21,"1.535,00","30,00",32/F/A/Y/T,Asfalto,,,,,,Cadastrado,31/07/2030,PA2020-1921,https://pergamum.anac.gov.br/arquivos/PA2020-1921.pdf,"043°23'08.0W""","21°47'35.0S"""
MG0017,Público,SNMK,Mocambinho,JAÍBA,Minas Gerais,Jaíba,Minas Gerais,-43.9791666666700,-15.0930555555556,"450,00",VFR,Sem Operação,11/29,"1.531,00","30,00",14/F/A/Y/T,Asfalto,,,,,,Cadastrado,20/08/2030,PA2020-2078,https://pergamum.anac.gov.br/arquivos/PA2020-2078.pdf,"043°58'45.0W""","15°05'35.0S"""
MG0018,Público,SBPC,Embaixador Walther Moreira Salles,POÇOS DE CALDAS,Minas Gerais,Poços de Caldas,Minas Gerais,-46.5661111111100,-21.8377777777778,"1.261,00",VFR / IFR Não Precisão,Sem Operação,09/27,"1.515,00","30,00",14/F/C/Y/U,Asfalto,,,,,,Cadastrado,20/02/2029,PA2019-0534,https://pergamum.anac.gov.br/arquivos/PA2019-0534.pdf,"046°33'58.0W""","21°50'16.0S"""
MG0019,Público,SBVG,Major Brigadeiro Trompowsky,VARGINHA,Minas Gerais,Varginha,Minas Gerais,-45.4733333333300,-21.5888888888889,"922,00",VFR / IFR Não Precisão,IFR Não Precisão,04/22,"2.100,00","30,00",26/F/A/Y/T,Asfalto,,,,,,Cadastrado,05/12/2027,PA2017-3825,https://pergamum.anac.gov.br/arquivos/PA2017-3825.pdf,"045°28'24.0W""","21°35'20.0S"""
MG0020,Público,SNAG,Araguari,ARAGUARI,Minas Gerais,Araguari,Minas Gerais,-48.1902777777800,-18.6680555555556,"947,00",VFR,Sem Operação,05/23,"1.500,00","30,00",14/F/A/Y/T,Asfalto,,,,,,Interditado,,,,"048°11'25.0W""","18°40'05.0S"""
MG0021,Público,SNAP,Janaúba,JANAÚBA,Minas Gerais,Janaúba,Minas Gerais,-43.3230555555600,-15.7319444444444,"532,00",VFR,Sem Operação,10/28,"1.500,00","30,00",5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,26/10/2030,PA2020-2974,https://pergamum.anac.gov.br/arquivos/PA2020-2974.pdf,"043°19'23.0W""","15°43'55.0S"""
MG0022,Público,SNAS,Três Marias,TRÊS MARIAS,Minas Gerais,Três Marias,Minas Gerais,-45.1905555555600,-18.225,"786,00",VFR,Sem Operação,06/24,"1.500,00","45,00",24/F/C/X/U,Asfalto,,,,,,Cadastrado,,PD1960-0132,https://pergamum.anac.gov.br/arquivos/PD1960-0132.pdf,"045°11'26.0W""","18°13'30.0S"""
MG0023,Público,SNGX,Guaxupé,GUAXUPÉ,Minas Gerais,Guaxupé,Minas Gerais,-46.7302777777800,-21.3266666666667,"849,00",VFR,VFR,12/30,"1.500,00","30,00",19/F/A/Y/T,Asfalto,,,,,,Cadastrado,23/06/2030,PA2020-1564,https://pergamum.anac.gov.br/arquivos/PA2020-1564.pdf,"046°43'49.0W""","21°19'36.0S"""
MG0024,Público,SNOS,José Figueiredo,PASSOS,Minas Gerais,Passos,Minas Gerais,-46.6597222222200,-20.7333333333333,"822,00",VFR,VFR,14/32,"1.500,00","30,00",19/F/A/Y/T,Asfalto,,,,,,Cadastrado,15/10/2023,PA2013-2698,https://pergamum.anac.gov.br/arquivos/PA2013-2698.pdf,"046°39'35.0W""","20°44'00.0S"""
MG0025,Público,SNXB,Caxambu,CAXAMBU,Minas Gerais,Caxambu,Minas Gerais,-44.9694444444400,-21.9175,"865,00",VFR,VFR,09/27,"1.500,00","30,00",8/F/C/X/U,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1077,https://pergamum.anac.gov.br/arquivos/PA2020-1077.pdf,"044°58'10.0W""","21°55'03.0S"""
MG0026,Público,SNZR,Pedro Rabelo de Souza,PARACATU,Minas Gerais,Paracatu,Minas Gerais,-46.8813888888900,-17.2430555555556,"730,00",VFR,Sem Operação,11/29,"1.500,00","30,00",11/F/C/Y/T,Asfalto,,,,,,Cadastrado,16/10/2028,PA2018-3129,https://pergamum.anac.gov.br/arquivos/PA2018-3129.pdf,"046°52'53.0W""","17°14'35.0S"""
MG0027,Público,SSOL,Lavras,LAVRAS,Minas Gerais,Lavras,Minas Gerais,-44.9694444444400,-21.2438888888889,"959,00",VFR,VFR,05/23,"1.500,00","30,00",12/F/C/Y/T,Asfalto,,,,,,Cadastrado,23/11/2021,PA2011-2243,https://pergamum.anac.gov.br/arquivos/PA2011-2243.pdf,"044°58'10.0W""","21°14'38.0S"""
MG0028,Público,SNPX,Pirapora,PIRAPORA,Minas Gerais,Pirapora,Minas Gerais,-44.8586111111100,-17.3138888888889,"551,00",VFR,Sem Operação,10/28,"1.480,00","30,00",10/F/B/Y/U,Asfalto,,,,,,Cadastrado,19/04/2030,PA2020-1087,https://pergamum.anac.gov.br/arquivos/PA2020-1087.pdf,"044°51'31.0W""","17°18'50.0S"""
MG0029,Público,SNSS,Salinas,SALINAS,Minas Gerais,Salinas,Minas Gerais,-42.3219444444400,-16.2083333333333,"763,00",VFR,Sem Operação,18/36,"1.480,00","30,00",8/F/B/Y/T,Asfalto,,,,,,Cadastrado,11/07/2029,PA2019-2065,https://pergamum.anac.gov.br/arquivos/PA2019-2065.pdf,"042°19'19.0W""","16°12'30.0S"""
MG0030,Público,SNDT,Juscelino Kubitscheck,DIAMANTINA,Minas Gerais,Diamantina,Minas Gerais,-43.6502777777800,-18.2322222222222,"1.356,00",VFR,VFR,03/21,"1.610,00","30,00",14/F/B/X/T,Asfalto,,,,,,Cadastrado,30/07/2028,PA2018-2328,https://pergamum.anac.gov.br/arquivos/PA2018-2328.pdf,"043°39'01.0W""","18°13'56.0S"""
MG0031,Público,SNCA,Campo Belo,CAMPO BELO,Minas Gerais,Campo Belo,Minas Gerais,-45.3355555555600,-20.8925,"970,00",VFR,Sem Operação,10/28,"1.420,00","30,00",25/F/A/X/T,Asfalto,,,,,,Cadastrado,23/06/2030,PA2020-1560,https://pergamum.anac.gov.br/arquivos/PA2020-1560.pdf,"045°20'08.0W""","20°53'33.0S"""
MG0032,Público,SBGV,Coronel Altino Machado,GOVERNADOR VALADARES,Minas Gerais,Governador Valadares,Minas Gerais,-41.9861111111100,-18.8969444444444,"171,00",VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,"1.701,00","30,00",31/F/B/X/T,Asfalto,,,,,,Cadastrado,16/04/2025,PA2015-0908,https://pergamum.anac.gov.br/arquivos/PA2015-0908.pdf,"041°59'10.0W""","18°53'49.0S"""
MG0033,Público,SNAR,Cirilo Queiróz,ALMENARA,Minas Gerais,Almenara,Minas Gerais,-40.6672222222200,-16.1838888888889,"195,00",VFR,VFR,07/25,"1.400,00","30,00",8/F/B/Y/U,Asfalto,,,,,,Cadastrado,,PD2005-0707,https://pergamum.anac.gov.br/arquivos/PD2005-0707.pdf,"040°40'02.0W""","16°11'02.0S"""
MG0034,Público,SNJR,Prefeito Octávio de Almeida Neves,SÃO JOÃO DEL REI,Minas Gerais,São João Del Rei,Minas Gerais,-44.2252777777800,-21.0855555555556,"945,00",VFR,VFR,08/26,"1.400,00","30,00",16/F/B/Y/T,Asfalto,,,,,,Cadastrado,22/05/2025,PA2015-1205,https://pergamum.anac.gov.br/arquivos/PA2015-1205.pdf,"044°13'31.0W""","21°05'08.0S"""
MG0035,Público,SNVI,Mello Viana,TRÊS CORAÇÕES,Minas Gerais,Três Corações,Minas Gerais,-45.2680555555600,-21.7891666666667,"976,00",VFR,Sem Operação,04/22,"1.300,00","23,00",8/F/C/Y/U,Asfalto,,,,,,Cadastrado,09/08/2029,PA2019-2431,https://pergamum.anac.gov.br/arquivos/PA2019-2431.pdf,"045°16'05.0W""","21°47'21.0S"""
MG0036,Público,SNJP,João Pinheiro,JOÃO PINHEIRO,Minas Gerais,João Pinheiro,Minas Gerais,-46.1200000000000,-17.7875,"911,00",VFR,Sem Operação,06/24,"1.300,00","23,00",5670 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,,PD2000-0057,https://pergamum.anac.gov.br/arquivos/PD2000-0057.pdf,"046°07'12.0W""","17°47'15.0S"""
MG0037,Público,SNLO,São Lourenço,SÃO LOURENÇO,Minas Gerais,São Lourenço,Minas Gerais,-45.0452777777800,-22.0916666666667,"875,00",VFR,Sem Operação,05/23,"1.300,00","30,00",14/F/B/X/T,Asfalto,,,,,,Cadastrado,,PD1983-0097,https://pergamum.anac.gov.br/arquivos/PD1983-0097.pdf,"045°02'43.0W""","22°05'30.0S"""
MG0038,Público,SNZA,Pouso Alegre,POUSO ALEGRE,Minas Gerais,Pouso Alegre,Minas Gerais,-45.9194444444400,-22.2888888888889,"885,00",VFR,,01/19,"1.280,00","30,00",14/F/A/Y/T,Asfalto,,,,,,Cadastrado,02/12/2030,PA2020-3470,https://pergamum.anac.gov.br/arquivos/PA2020-3470.pdf,"045°55'10.0W""","22°17'20.0S"""
MG0039,Público,SNJN,Januária,JANUÁRIA,Minas Gerais,Januária,Minas Gerais,-44.3863888888900,-15.4747222222222,"480,00",VFR,Sem Operação,08/26,"1.200,00","30,00",10/F/B/Y/U,Asfalto,,,,,,Cadastrado,,PD1982-0206,https://pergamum.anac.gov.br/arquivos/PD1982-0206.pdf,"044°23'11.0W""","15°28'29.0S"""
MG0040,Público,SNLI,Doutor José Mourão,ABAETÉ,Minas Gerais,Abaeté,Minas Gerais,-45.4958333333300,-19.1572222222222,"664,00",VFR,Sem Operação,17/35,"1.200,00","30,00",5670 Kg / 0.63 MPa,Asfalto,,,,,,Interditado,,PD1998-0497E,https://pergamum.anac.gov.br/arquivos/PD1998-0497E.pdf,"045°29'45.0W""","19°09'26.0S"""
MG0041,Público,SNNU,Nanuque,NANUQUE,Minas Gerais,Nanuque,Minas Gerais,-40.3297222222200,-17.8230555555556,"210,00",VFR,Sem Operação,11/29,"1.220,00","23,00",13/F/C/Y/U,Asfalto,,,,,,Cadastrado,30/07/2028,PA2018-2331,https://pergamum.anac.gov.br/arquivos/PA2018-2331.pdf,"040°19'47.0W""","17°49'23.0S"""
MG0042,Público,SNPJ,Patrocínio,PATROCÍNIO,Minas Gerais,Patrocínio,Minas Gerais,-46.9827777777800,-18.9091666666667,"985,00",VFR,,05/23,"1.200,00","30,00",14/F/B/Y/T,Asfalto,,,,,,Cadastrado,03/06/2029,PA2019-1662,https://pergamum.anac.gov.br/arquivos/PA2019-1662.pdf,"046°58'58.0W""","18°54'33.0S"""
MG0044,Público,SNQV,Curvelo,CURVELO,Minas Gerais,Curvelo,Minas Gerais,-44.4580555555600,-18.7494444444444,"672,00",VFR,Sem Operação,09/27,"1.200,00","23,00",5000 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,16/10/2018,PA2018-3127,https://pergamum.anac.gov.br/arquivos/PA2018-3127.pdf,"044°27'29.0W""","18°44'58.0S"""
MG0045,Público,SNUI,Araçuaí,ARAÇUAÍ,Minas Gerais,Araçuaí,Minas Gerais,-42.0461111111100,-16.8519444444444,"360,00",VFR,Sem Operação,09/27,"1.200,00","30,00",10/F/B/Y/T,Asfalto,,,,,,Cadastrado,,PD1983-0173,https://pergamum.anac.gov.br/arquivos/PD1983-0173.pdf,"042°02'46.0W""","16°51'07.0S"""
MG0047,Público,SNYB,Tito Teixeira,ITUIUTABA,Minas Gerais,Ituiutaba,Minas Gerais,-49.4872222222200,-19.0019444444444,"605,00",VFR,Sem Operação,03/21,"1.200,00","30,00",8/F/B/X/U,Asfalto,,,,,,Cadastrado,,,,"049°29'14.0W""","19°00'07.0S"""
MG0048,Público,SNTO,Juscelino Kubitscheck,TEÓFILO OTONI,Minas Gerais,Teófilo Otoni,Minas Gerais,-41.5150000000000,-17.8908333333333,"480,00",VFR,VFR,11/29,"1.190,00","23,00",10/F/B/Y/U,Asfalto,,,,,,Cadastrado,23/06/2030,PA2020-1559,https://pergamum.anac.gov.br/arquivos/PA2020-1559.pdf,"041°30'54.0W""","17°53'27.0S"""
